round_number,group_id,duration,shuffle_role,players_per_group,swap_method,messaging,value,practice,endowment
1,1,120,TRUE,5,swap,FALSE,"[2,4,6,8,10]",TRUE,100
1,2,120,TRUE,5,swap,FALSE,"[2,4,6,8,10]",TRUE,100
2,1,120,TRUE,5,swap,TRUE,"[2,4,6,8,10]",TRUE,100
2,2,120,TRUE,5,swap,TRUE,"[2,4,6,8,10]",TRUE,100
3,1,120,TRUE,5,swap,FALSE,"[8,4,2,10,6]",FALSE,100
3,2,120,TRUE,5,swap,FALSE,"[8,4,2,10,6]",FALSE,100
4,1,120,TRUE,5,swap,FALSE,"[6,8,10,4,2]",FALSE,100
4,2,120,TRUE,5,swap,FALSE,"[6,8,10,4,2]",FALSE,100
5,1,120,TRUE,5,swap,FALSE,"[2,10,8,4,6]",FALSE,100
5,2,120,TRUE,5,swap,FALSE,"[2,10,8,4,6]",FALSE,100
6,1,120,TRUE,5,swap,TRUE,"[2,8,6,10,4]",FALSE,100
6,2,120,TRUE,5,swap,TRUE,"[2,8,6,10,4]",FALSE,100
7,1,120,TRUE,5,swap,TRUE,"[8,2,4,10,6]",FALSE,100
7,2,120,TRUE,5,swap,TRUE,"[8,2,4,10,6]",FALSE,100
8,1,120,TRUE,5,swap,TRUE,"[4,6,8,2,10]",FALSE,100
8,2,120,TRUE,5,swap,TRUE,"[4,6,8,2,10]",FALSE,100
9,1,120,TRUE,5,swap,TRUE,"[10,6,2,4,8]",FALSE,100
9,2,120,TRUE,5,swap,TRUE,"[10,6,2,4,8]",FALSE,100
10,1,120,TRUE,5,swap,TRUE,"[8,2,4,6,10]",FALSE,100
10,2,120,TRUE,5,swap,TRUE,"[8,2,4,6,10]",FALSE,100
11,1,120,TRUE,5,swap,TRUE,"[6,8,2,4,10]",FALSE,100
11,2,120,TRUE,5,swap,TRUE,"[6,8,2,4,10]",FALSE,100
12,1,120,TRUE,5,swap,FALSE,"[10,2,8,4,6]",FALSE,100
12,2,120,TRUE,5,swap,FALSE,"[10,2,8,4,6]",FALSE,100
13,1,121,TRUE,5,swap,FALSE,"[4,8,2,6,10]",FALSE,100
13,2,122,TRUE,5,swap,FALSE,"[4,8,2,6,10]",FALSE,100
14,1,123,TRUE,5,swap,FALSE,"[6,8,10,4,2]",FALSE,100
14,2,124,TRUE,5,swap,FALSE,"[6,8,10,4,2]",FALSE,100
